TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE,MSE(X),NMSE(X),MAPE(X),MSE(Y),NMSE(Y),MAPE(Y),MSE(Z),NMSE(Z),MAPE(Z)
200.0,180.0,0.2,0.1,0.9,0.4,1.5743122918719265e-9,3.3700638614329714e-12,0.0988450764529254,1.756104083208013e-10,7.565371859341792e-13,0.0010267334559068827,6.927984831471319e-10,3.843818893452383e-12,0.0025003532910557254,7.059034004039937e-10,1.2884941968862219e-11,0.09531798970596281
200.0,200.0,0.2,0.1,0.9,0.4,1.1068133933624044e-9,2.369308705508145e-12,0.11004271328043645,1.7776344308826683e-10,7.658125522394683e-13,0.001032358124467351,4.5218974142006e-10,2.5088615431143207e-12,0.0019781838624946227,4.768602088540776e-10,8.704188299458352e-12,0.10703217129347446
200.0,220.0,0.2,0.1,0.9,0.4,1.1399870771662204e-9,2.440322209953894e-12,0.11069168325372165,1.772529697010761e-10,7.636134109497672e-13,0.0010337636468774945,4.678378692466749e-10,2.59568126176305e-12,0.0020191424928791093,4.948962382184692e-10,9.0334021714639e-12,0.10763877711396504
200.0,240.0,0.2,0.1,0.9,0.4,1.106118330404905e-9,2.3678208135780728e-12,0.10868568969947184,1.740946791104739e-10,7.500073593573595e-13,0.0010245515485147096,4.4098912633148857e-10,2.446717735148455e-12,0.001958614539661291,4.910345249629426e-10,8.96291384236764e-12,0.10570252361129584
200.0,260.0,0.2,0.1,0.9,0.4,9.963284359205773e-10,2.132798221388167e-12,0.10831763032114067,1.7199097131503253e-10,7.409444957673857e-13,0.0010175581242988293,3.8959635439601606e-10,2.1615778098196845e-12,0.0018418708926932813,4.3474111020952896e-10,7.935383188865034e-12,0.10545820130414855
200.0,280.0,0.2,0.1,0.9,0.4,1.016534841825761e-9,2.1760532214679384e-12,0.10663523390293411,1.7308797301425465e-10,7.456704262314756e-13,0.0010243278889294763,3.897660686831048e-10,2.1625194270418194e-12,0.0018528616190006955,4.5368080012840146e-10,8.281091688602042e-12,0.10375804439500393
200.0,300.0,0.2,0.1,0.9,0.4,9.643000814170884e-10,2.064236475023963e-12,0.10649427753888203,1.7201471347068346e-10,7.410467779942533e-13,0.0010172378974045012,3.7409123756087587e-10,2.0755515518444036e-12,0.0017988867066215004,4.1819413038552926e-10,7.633349122064747e-12,0.10367815293485602
200.0,320.0,0.2,0.1,0.9,0.4,9.778804471628922e-10,2.0933073906620265e-12,0.11203508010988882,1.715588574427069e-10,7.390829306352373e-13,0.0010181910296723023,3.817047872186289e-10,2.117793425538711e-12,0.0018300129353749383,4.2461680250155645e-10,7.75058294960075e-12,0.10918687614484157
200.0,340.0,0.2,0.1,0.9,0.4,9.548276703092165e-10,2.0439592844563163e-12,0.10914291220476223,1.671771719210745e-10,7.202064411043394e-13,0.001003266416532014,3.6798374560228984e-10,2.0416656621476215e-12,0.0017892906867849516,4.19666752785852e-10,7.660229080653054e-12,0.10635035510144526
200.0,360.0,0.2,0.1,0.9,0.4,9.221434234355376e-10,1.973993496984653e-12,0.1072934991005242,1.6578272455424042e-10,7.141991019213975e-13,0.0009999580253392763,3.571274544920528e-10,1.9814322495500857e-12,0.0017727314872723178,3.992332443892442e-10,7.287253727708345e-12,0.10452080958791261
