TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE,MSE(X),NMSE(X),MAPE(X),MSE(Y),NMSE(Y),MAPE(Y),MSE(Z),NMSE(Z),MAPE(Z)
120.0,120.0,0.2,0.1,0.9,0.4,3.149125801547655e-10,6.622896124161586e-13,0.006724392436485639,2.690740869383599e-12,1.141055983468485e-14,0.00014071448710043609,1.1316862197532074e-10,5.94417974293326e-13,0.0011067780329995218,1.990532173100612e-10,4.0381085868649535e-12,0.005476899916385682
120.0,140.0,0.2,0.1,0.9,0.4,2.1985913475756825e-10,4.62383627459979e-13,0.005691516566025547,1.8350626548877492e-12,7.781905891513468e-15,0.00010669429195316216,8.877731667128624e-11,4.663026890126053e-13,0.0009561079636865314,1.292467554313943e-10,2.621974364367974e-12,0.004628714310385854
120.0,160.0,0.2,0.1,0.9,0.4,2.3208010510502e-10,4.880854324205348e-13,0.0058574885680933424,5.222743462405728e-12,2.2147962093667425e-14,0.00018552947562096837,1.0003892324389183e-10,5.254542563758311e-13,0.0009713379346659871,1.268184383987225e-10,2.5727121218693357e-12,0.004700621157806386
120.0,180.0,0.2,0.1,0.9,0.4,2.7452239013331437e-10,5.77345393034464e-13,0.006287694176196903,3.3658006094375653e-12,1.4273269374469394e-14,0.00015108604181428533,1.0357469358426388e-10,5.440258834452913e-13,0.0010484219214220954,1.675818959396129e-10,3.399663176218631e-12,0.005088186212960523
120.0,200.0,0.2,0.1,0.9,0.4,2.7668495013096595e-10,5.818934521242833e-13,0.006303035568434133,3.223017546045632e-12,1.3667772685155536e-14,0.0001430744789368507,1.1624543816876341e-10,6.105789455683665e-13,0.001125243693765993,1.5721649441615692e-10,3.1893846513909136e-12,0.00503471739573129
120.0,220.0,0.2,0.1,0.9,0.4,1.8500381379248802e-10,3.8907973784953883e-13,0.004898568713297665,3.2677549571786346e-12,1.3857489544326359e-14,0.00014268988497440484,9.659177063958324e-11,5.073480937985407e-13,0.0009381727431139939,8.51442881957261e-11,1.7272862299437312e-12,0.003817706085209266
120.0,240.0,0.2,0.1,0.9,0.4,2.010773607100836e-10,4.2288385946632406e-13,0.005624096957591396,3.022659340642686e-12,1.2818118481313858e-14,0.0001399856418730831,7.718054877325207e-11,4.053906874172991e-13,0.0009154900318813882,1.2087415259618886e-10,2.4521229052449163e-12,0.0045686212838369255
120.0,260.0,0.2,0.1,0.9,0.4,1.7099323899155584e-10,3.596142330098252e-13,0.004932468706840357,3.683211274009445e-12,1.5619305115582662e-14,0.00015156638311670682,6.356606224524551e-11,3.3388062250914596e-13,0.0008213297083558356,1.037439654723009e-10,2.104610030776652e-12,0.003959572615367815
120.0,280.0,0.2,0.1,0.9,0.4,1.8424892852977673e-10,3.8749214592858726e-13,0.005203473956592501,4.226738700177765e-12,1.7924228747826235e-14,0.0001642781758055237,5.882891495099647e-11,3.089987652467089e-13,0.0007878554824238198,1.2119327487860252e-10,2.4585968042669415e-12,0.004251340298363157
120.0,300.0,0.2,0.1,0.9,0.4,2.294987365885711e-10,4.826565811710165e-13,0.005881979668989641,4.024344258877306e-12,1.706593952758053e-14,0.0001620255749168131,9.095862165116515e-11,4.777599893209746e-13,0.000978406135079087,1.3451577067852857e-10,2.728864652308574e-12,0.004741547958993741
120.0,320.0,0.2,0.1,0.9,0.4,2.2760729190716287e-10,4.786787020899686e-13,0.005799141994199985,3.780861303087092e-12,1.603340723605347e-14,0.0001577839855488038,1.0179049770986832e-10,5.346543979673468e-13,0.0009901390179804816,1.2203593289420745e-10,2.475691451691326e-12,0.0046512189906707
120.0,340.0,0.2,0.1,0.9,0.4,2.381063034761576e-10,5.007590721385865e-13,0.005926312837317856,3.1671340652589494e-12,1.3430788957535203e-14,0.00014673020712669015,9.875359500328814e-11,5.18703072207058e-13,0.001001149818749624,1.361855744076105e-10,2.7627392556327776e-12,0.004778432811441542
120.0,360.0,0.2,0.1,0.9,0.4,2.1217227757376418e-10,4.4621747219727717e-13,0.005482604162218461,3.490763123190622e-12,1.480319488922122e-14,0.00015062673555184107,9.51710808641615e-11,4.998859234224661e-13,0.0010128147867920908,1.1351043358641217e-10,2.3027382463759187e-12,0.00431916263987453
120.0,380.0,0.2,0.1,0.9,0.4,2.0599565966993388e-10,4.3322748660965763e-13,0.00565137514952141,4.26915243179039e-12,1.8104091635362105e-14,0.000168952718446177,5.947203844796866e-11,3.123767702061933e-13,0.000789059065362739,1.4225446879017485e-10,2.8858563539152723e-12,0.004693363365712495
