TRAIN,NEURONS,RADIUS,LEAKING,SPARSITY,SCALE,MSE,NMSE,MAPE,MSE(X),NMSE(X),MAPE(X),MSE(Y),NMSE(Y),MAPE(Y),MSE(Z),NMSE(Z),MAPE(Z)
80.0,40.0,0.2,0.1,0.9,0.4,5.4902164906964815e-9,1.1986256954616535e-11,0.0192573736007659,2.627678618239546e-10,1.1442025685075109e-12,0.0012407494606318215,3.310036574894223e-9,1.8602395470093807e-11,0.005266225289921383,1.9174120539783034e-9,3.800237838174323e-11,0.012750398850212692
80.0,60.0,0.2,0.1,0.9,0.4,3.2617048190593583e-9,7.120963651908175e-12,0.016524288761897758,2.4115174221567796e-10,1.0500768279954307e-12,0.0011812919841637424,1.7123578087168882e-9,9.623445669953886e-12,0.003855520932031338,1.3081952681267928e-9,2.5927933160434262e-11,0.01148747584570268
80.0,80.0,0.2,0.1,0.9,0.4,2.3874753672231455e-9,5.212343315213021e-12,0.013269906456063412,2.3962695249950964e-10,1.0434372477303126e-12,0.00118200975744863,1.2232659232287127e-9,6.874750763053763e-12,0.0033352420334164367,9.245824914949229e-10,1.832487368274495e-11,0.008752654665198346
80.0,100.0,0.2,0.1,0.9,0.4,2.0864698676934703e-9,4.555187214314403e-12,0.012254382685598197,2.3305020496672e-10,1.014799303321095e-12,0.0011666142456530455,1.073595008086205e-9,6.033600675779952e-12,0.0031933216294793856,7.798246546405453e-10,1.5455828357589736e-11,0.00789444681046577
80.0,120.0,0.2,0.1,0.9,0.4,2.4493262348214375e-9,5.347376313120367e-12,0.01275430975662767,2.3046093035690636e-10,1.003524504955133e-12,0.0011620251276875132,1.4312290222304355e-9,8.043502746085838e-12,0.0037517443063290047,7.876362822340953e-10,1.5610651848435855e-11,0.007840540322611151
80.0,140.0,0.2,0.1,0.9,0.4,2.0571336996026715e-9,4.491140404977103e-12,0.012178839721109938,2.39046098581684e-10,1.0409079637452373e-12,0.0011940723220992407,1.074688424733831e-9,6.039745674009578e-12,0.0031605841835631665,7.433991762871568e-10,1.4733889216626595e-11,0.00782418321544753
80.0,160.0,0.2,0.1,0.9,0.4,1.829312520553659e-9,3.993760529991746e-12,0.01214850713629832,2.33697007892349e-10,1.0176157572195506e-12,0.0011736386378702643,7.457764475127324e-10,4.191261363737905e-12,0.002567214942555277,8.498390651485772e-10,1.684348737161356e-11,0.008407653555872778
80.0,180.0,0.2,0.1,0.9,0.4,1.87307689167771e-9,4.089307035059258e-12,0.012057961777904908,2.3154971241210157e-10,1.0082655231886867e-12,0.001166319675806432,8.671271312589247e-10,4.873251836814503e-12,0.0028049413235695653,7.744000480066835e-10,1.534831471520681e-11,0.008086700778528912
80.0,200.0,0.2,0.1,0.9,0.4,1.5253555316504635e-9,3.3301607287236093e-12,0.011372258341044189,2.389827413308338e-10,1.0406320794393975e-12,0.0011943002884837399,5.502303801214514e-10,3.092293060540086e-12,0.0021864995770608012,7.361424101981782e-10,1.4590062869979307e-11,0.007991458475499646
80.0,220.0,0.2,0.1,0.9,0.4,1.6425770470317662e-9,3.5860790893840257e-12,0.011599244166688201,2.2724988800224143e-10,9.895422664717394e-13,0.0011568456020052314,6.95141645474967e-10,3.906693930495411e-12,0.0025225439190714374,7.201855135545581e-10,1.4273803241387195e-11,0.00791985464561153
