Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2020-01-15,9078.87,9035.667,9008.95,9039.312,136692391
2020-01-16,9126.073,9124.999,9066.306,9088.084,143139792
2020-01-17,9176.47,9173.733,9118.982,9159.483,200480457
2020-01-21,9187.419,9166.628,9141.783,9145.641,187349649
2020-01-22,9242.479,9188.575,9179.267,9212.353,158718932
2020-01-23,9221.126,9216.984,9145.233,9186.137,166786709
2020-01-24,9272.373,9141.467,9101.443,9266.351,187986233
2020-01-27,9001.436,8952.178,8910.972,8913.164,193019329
2020-01-28,9111.315,9090.932,8994.285,9013.229,154541035
2020-01-29,9153.076,9101.613,9067.287,9141.521,173455540
2020-01-30,9140.694,9136.087,9019.72,9038.922,185284680
2020-01-31,9170.216,8991.512,8961.59,9169.91,217217765
2020-02-03,9148.505,9126.232,9031.073,9033.518,183060179
2020-02-04,9352.963,9334.055,9224.859,9256.938,199768994
2020-02-05,9442.755,9367.481,9311.884,9441.344,193600094
2020-02-06,9448.723,9445.916,9357.863,9395.686,165899216
2020-02-07,9453.243,9401.097,9376.91,9397.765,153797137
2020-02-10,9517.74,9516.84,9373.196,9373.196,154241125
2020-02-11,9600.05,9517.861,9493.631,9567.815,152230997
2020-02-12,9615.905,9613.201,9552.033,9569.822,166197425
2020-02-13,9636.409,9595.702,9532.741,9540.671,162349602
2020-02-14,9634.751,9623.58,9583.083,9613.882,145562930
2020-02-18,9647.718,9629.802,9567.275,9567.275,152629888
2020-02-19,9736.572,9718.726,9676.069,9683.937,148283091
2020-02-20,9714.233,9627.83,9513.226,9696.655,159560811
2020-02-21,9593.998,9446.688,9406.379,9582.543,201717152
2020-02-24,9194.908,9079.632,9028.873,9055.3,270433317
2020-02-25,9183.781,8834.865,8807.105,9167.329,279610159
2020-02-26,9032.875,8873.757,8813.924,8883.01,250713548
2020-02-27,8786.684,8436.666,8430.535,8632.542,358272193
2020-02-28,8490.467,8461.834,8133.848,8133.848,467920121
2020-03-02,8879.391,8877.978,8446.495,8569.907,350573081
2020-03-03,9000.457,8594.492,8516.584,8892.679,353151438
2020-03-04,8952.109,8949.281,8669.761,8745.637,256134437
2020-03-05,8864.191,8671.658,8613.905,8713.192,265847979
2020-03-06,8571.881,8530.337,8319.904,8395.948,306188114
2020-03-09,8241.768,7948.027,7912.143,7912.143,380279493
2020-03-10,8376.436,8372.265,7942.132,8213.966,336115469
2020-03-11,8224.731,8006.119,7900.989,8166.264,316148996
2020-03-12,7808.313,7263.653,7255.615,7452.756,454888980
2020-03-13,7998.509,7995.263,7301.877,7683.043,423681268
2020-03-16,7563.446,7020.377,6993.606,7502.262,441734762
2020-03-17,7550.133,7473.95,6959.151,7198.528,415147717
2020-03-18,7336.88,7175.176,6837.532,7023.862,430310023
2020-03-19,7514.135,7288.523,7037.472,7190.208,374505592
2020-03-20,7487.833,6994.291,6969.766,7391.215,493588614
2020-03-23,7145.29,7006.917,6771.914,6952.714,361831197
2020-03-24,7555.911,7553.825,7304.392,7348.995,395512431
2020-03-25,7777.613,7469.615,7390.413,7543.961,368484315
2020-03-26,7913.108,7897.128,7549.834,7549.834,326889725
2020-03-27,7817.741,7588.373,7580.217,7657.44,262612282
2020-03-30,7902.086,7889.006,7651.429,7678.833,247993234
2020-03-31,8011.596,7813.499,7765.455,7855.739,315417754
2020-04-01,7701.675,7486.287,7423.97,7582.78,261145707
2020-04-02,7641.865,7635.658,7432.278,7445.881,248647262
2020-04-03,7673.489,7528.114,7439.781,7631.571,227727555
2020-04-06,8110.66,8081.663,7763.091,7819.059,310167864
2020-04-07,8305.59,8049.307,8043.074,8287.475,288350670
2020-04-08,8254.413,8229.542,8058.408,8134.298,229170156
2020-04-09,8334.231,8238.529,8167.933,8284.313,259059229
2020-04-13,8338.154,8332.738,8158.583,8209.683,204105933
2020-04-14,8708.548,8692.155,8470.742,8489.267,233391258
2020-04-15,8666.243,8591.958,8500.557,8548.474,215831237
2020-04-16,8793.35,8757.832,8605.507,8689.091,237925990
2020-04-17,8879.24,8832.414,8704.382,8876.662,292750496
2020-04-20,8855.18,8726.513,8725.325,8742.539,196290179
2020-04-21,8663.093,8403.003,8359.84,8639.74,239967349
2020-04-22,8708.478,8664.635,8550.614,8575.572,209205030
2020-04-23,8796.486,8641.497,8624.634,8693.731,217289891
2020-04-24,8791.356,8786.603,8599.989,8666.571,184542724
2020-04-27,8887.623,8837.657,8803.885,8865.578,171864839
2020-04-28,8918.376,8677.6,8668.673,8913.276,194817902
2020-04-29,9025.824,8982.761,8831.997,8871.037,260577482
2020-04-30,9023.032,9000.509,8920.423,9005.237,292021395
2020-05-01,8887.58,8718.179,8688.577,8791.876,221879612
2020-05-04,8840.327,8834.111,8665.401,8683.941,189301261
2020-05-05,9031.0,8930.618,8900.574,8922.388,171929000
2020-05-06,9065.579,8984.859,8950.893,8997.024,166504247
2020-05-07,9136.182,9101.876,9045.229,9104.667,173274963
2020-05-08,9224.49,9220.354,9126.967,9165.7,168136893
2020-05-11,9346.27,9298.923,9155.21,9155.21,175010493
2020-05-12,9354.446,9112.447,9109.09,9326.06,178671487
2020-05-13,9209.488,9000.077,8890.156,9123.687,225688165
2020-05-14,9097.754,9094.425,8860.772,8946.447,219789646
2020-05-15,9157.464,9152.639,8958.079,8976.287,263652745
2020-05-18,9367.542,9331.926,9248.784,9281.355,223298315
2020-05-19,9422.899,9298.544,9296.245,9326.283,191257677
2020-05-20,9498.278,9485.02,9412.834,9415.253,194160743
2020-05-21,9515.054,9377.992,9361.83,9487.633,172109825
2020-05-22,9421.933,9413.988,9325.072,9363.675,140226684
2020-05-26,9570.528,9389.977,9379.899,9570.528,213732581
2020-05-27,9445.057,9442.046,9182.446,9366.627,223929276
2020-05-28,9568.891,9416.713,9391.841,9404.829,198205201
2020-05-29,9573.554,9555.525,9379.929,9440.636,371130684
2020-06-01,9609.38,9598.887,9515.342,9526.43,163307362
2020-06-02,9660.083,9657.307,9511.883,9603.184,196138108
2020-06-03,9729.687,9704.688,9648.933,9689.723,199554239
2020-06-04,9741.971,9629.664,9577.705,9672.173,217351783
2020-06-05,9846.629,9824.39,9659.45,9673.094,264657932
2020-06-08,9904.515,9901.521,9753.874,9805.688,205935401
2020-06-09,10006.902,9967.174,9859.0,9861.183,196905200
2020-06-10,10155.2,10094.256,10022.442,10037.981,220864918
2020-06-11,9978.193,9588.479,9586.248,9907.562,296596746
2020-06-12,9849.007,9663.775,9499.095,9785.582,248833399
2020-06-15,9809.411,9776.891,9489.582,9517.141,220038391
2020-06-16,10010.891,9949.366,9801.448,9983.648,230075090
2020-06-17,10058.65,9982.479,9952.502,9998.861,182056756
2020-06-18,10018.564,10012.053,9942.106,9972.351,187250907
2020-06-19,10121.669,10008.644,9937.815,10104.63,500549529
2020-06-22,10134.636,10130.33,9989.489,10009.002,184211315
2020-06-23,10306.898,10209.817,10172.066,10192.422,186838871
2020-06-24,10232.424,10002.697,9943.244,10183.768,231668831
2020-06-25,10110.291,10101.834,9901.214,10003.499,193362121
2020-06-26,10093.979,9849.356,9837.741,10087.081,388855724
2020-06-29,9965.083,9961.163,9742.894,9850.545,174380371
2020-06-30,10185.354,10156.852,9956.831,9970.208,231719382
2020-07-01,10321.766,10279.248,10142.755,10160.41,167521912
2020-07-02,10432.546,10341.892,10328.775,10386.377,167921294
2020-07-06,10625.095,10604.058,10485.815,10487.696,179086099
2020-07-07,10704.926,10524.011,10516.631,10595.944,157462197
2020-07-08,10669.13,10666.701,10528.821,10594.413,160406291
2020-07-09,10785.964,10754.592,10574.967,10745.873,187391795
2020-07-10,10842.776,10836.333,10639.476,10751.768,160267920
2020-07-13,11069.263,10602.208,10574.556,10951.542,228079926
2020-07-14,10701.881,10689.52,10370.794,10502.849,212713289
2020-07-15,10780.404,10701.679,10570.957,10752.108,186631084
2020-07-16,10658.895,10626.46,10495.093,10589.856,153115624
2020-07-17,10680.703,10645.22,10558.776,10651.595,164993251
2020-07-20,10971.519,10952.076,10621.897,10672.96,179780837
2020-07-21,11017.429,10833.074,10800.869,11015.54,178276646
2020-07-22,10910.244,10870.754,10776.239,10850.921,169297422
2020-07-23,10885.376,10580.591,10531.215,10853.161,221217817
2020-07-24,10543.42,10483.132,10313.941,10389.535,250101291
2020-07-27,10689.55,10674.375,10527.644,10547.107,192234830
2020-07-28,10662.187,10532.502,10527.428,10644.335,166362832
2020-07-29,10694.878,10662.983,10587.195,10602.399,183483666
2020-07-30,10737.028,10715.507,10531.786,10578.625,186219373
2020-07-31,10908.337,10905.881,10707.395,10886.361,266966729
2020-08-03,11085.497,11055.076,10997.674,11018.017,188624883
2020-08-04,11097.853,11096.539,11002.545,11048.499,187547877
2020-08-05,11141.685,11125.439,11077.7,11107.239,153577802
2020-08-06,11282.235,11267.085,11090.502,11116.487,166942948
2020-08-07,11276.299,11139.387,11044.604,11235.235,178263121
2020-08-10,11159.381,11085.168,10941.87,11153.512,172557512
2020-08-11,11090.92,10876.08,10855.063,11039.678,200259508
2020-08-12,11190.255,11157.722,10970.868,10972.072,179139587
2020-08-13,11271.224,11178.37,11139.643,11174.635,166056804
2020-08-14,11213.274,11164.447,11106.934,11187.821,136452096
2020-08-17,11306.473,11288.57,11228.144,11231.968,156821026
2020-08-18,11421.099,11399.033,11279.08,11339.758,147120954
2020-08-19,11440.216,11318.644,11303.396,11397.227,166027931
2020-08-20,11497.183,11477.049,11268.458,11277.049,159027397
2020-08-21,11574.792,11555.164,11461.527,11476.853,191262120
2020-08-24,11728.093,11626.173,11535.546,11703.338,178387090
2020-08-25,11723.945,11721.805,11580.893,11610.577,154166289
2020-08-26,11979.647,11971.941,11767.998,11779.349,182204771
2020-08-27,12047.989,11926.162,11842.836,11997.886,181531902
2020-08-28,12018.144,11995.855,11928.687,11992.681,166460491
2020-08-31,12167.462,12110.698,12000.109,12017.462,298833731
2020-09-01,12300.439,12292.863,12132.781,12203.361,228036227
2020-09-02,12439.479,12420.543,12176.178,12417.453,273594844
2020-09-03,12234.996,11771.365,11662.105,12195.751,359311439
2020-09-04,11846.176,11622.131,11145.989,11686.237,364545905
2020-09-08,11400.455,11068.257,11055.157,11143.914,338090461
2020-09-09,11480.372,11395.846,11197.132,11308.249,266989131
2020-09-10,11566.336,11154.124,11095.943,11501.428,249804101
2020-09-11,11280.406,11087.4,10945.22,11251.189,221400338
2020-09-14,11363.247,11277.763,11192.823,11250.802,220445689
2020-09-15,11495.4,11438.874,11367.203,11432.942,216658339
2020-09-16,11486.092,11247.599,11242.96,11467.899,233923983
2020-09-17,11160.04,11080.951,10936.8,10965.739,271145826
2020-09-18,11153.971,10936.982,10769.395,11147.801,537365969
2020-09-21,10984.758,10980.22,10677.848,10768.007,276563362
