Date,HIGH,CLOSE,LOW,OPEN
2017-02-07,2299.4,2293.08,2290.16,2295.87
2017-02-08,2295.91,2294.67,2285.38,2289.55
2017-02-09,2311.08,2307.87,2296.61,2296.7
2017-02-10,2319.23,2316.1,2311.1,2312.27
2017-02-13,2331.58,2328.25,2321.42,2321.72
2017-02-14,2337.58,2337.58,2322.17,2326.12
2017-02-15,2351.3,2349.25,2334.81,2335.58
2017-02-16,2351.31,2347.22,2338.87,2349.64
2017-02-17,2351.16,2351.16,2339.58,2343.01
2017-02-21,2366.71,2365.38,2354.91,2354.91
2017-02-22,2365.13,2362.82,2358.34,2361.11
2017-02-23,2368.26,2363.81,2355.09,2367.5
2017-02-24,2367.34,2367.34,2352.87,2355.73
2017-02-27,2371.54,2369.75,2361.87,2365.23
2017-02-28,2367.79,2363.64,2358.96,2366.08
2017-03-01,2400.98,2395.96,2380.13,2380.13
2017-03-02,2394.75,2381.92,2380.17,2394.75
2017-03-03,2383.89,2383.12,2375.39,2380.92
2017-03-06,2378.8,2375.31,2367.98,2375.23
2017-03-07,2375.12,2368.39,2365.51,2370.74
2017-03-08,2373.09,2362.98,2361.01,2369.81
2017-03-09,2369.08,2364.87,2354.54,2363.49
2017-03-10,2376.86,2372.6,2363.04,2372.52
2017-03-13,2374.42,2373.47,2368.52,2371.56
2017-03-14,2368.55,2365.45,2358.18,2368.55
2017-03-15,2390.01,2385.26,2368.94,2370.34
2017-03-16,2388.1,2381.38,2377.18,2387.71
2017-03-17,2385.71,2378.25,2377.64,2383.71
2017-03-20,2379.55,2373.47,2369.66,2378.24
2017-03-21,2381.93,2344.02,2341.9,2379.32
2017-03-22,2351.81,2348.45,2336.45,2343.0
2017-03-23,2358.92,2345.96,2342.13,2345.97
2017-03-24,2356.22,2343.98,2335.74,2350.42
2017-03-27,2344.9,2341.59,2322.25,2329.11
2017-03-28,2363.78,2358.57,2337.63,2339.79
2017-03-29,2363.36,2361.13,2352.94,2356.54
2017-03-30,2370.42,2368.06,2358.58,2361.31
2017-03-31,2370.35,2362.72,2362.6,2364.82
2017-04-03,2365.87,2358.84,2344.73,2362.34
2017-04-04,2360.53,2360.16,2350.72,2354.76
2017-04-05,2378.36,2352.95,2350.52,2366.59
2017-04-06,2364.16,2357.49,2348.9,2353.79
2017-04-07,2363.76,2355.54,2350.74,2356.59
2017-04-10,2366.37,2357.16,2351.5,2357.16
2017-04-11,2355.22,2353.78,2337.25,2353.92
2017-04-12,2352.72,2344.93,2341.18,2352.15
2017-04-13,2348.26,2328.95,2328.95,2341.98
2017-04-17,2349.14,2349.01,2332.51,2332.62
2017-04-18,2348.35,2342.19,2334.54,2342.53
2017-04-19,2352.63,2338.17,2335.05,2346.79
2017-04-20,2361.37,2355.84,2340.91,2342.69
2017-04-21,2356.18,2348.69,2344.51,2354.74
2017-04-24,2376.98,2374.15,2369.19,2370.33
2017-04-25,2392.48,2388.61,2381.15,2381.51
2017-04-26,2398.16,2387.45,2386.76,2388.98
2017-04-27,2392.1,2388.77,2382.68,2389.7
2017-04-28,2393.68,2384.2,2382.36,2393.68
2017-05-01,2394.49,2388.33,2384.83,2388.5
2017-05-02,2392.93,2391.17,2385.82,2391.05
2017-05-03,2389.82,2388.13,2379.75,2386.5
2017-05-04,2391.43,2389.52,2380.35,2389.79
2017-05-05,2399.29,2399.29,2389.38,2392.37
2017-05-08,2401.36,2399.38,2393.92,2399.94
2017-05-09,2403.87,2396.92,2392.44,2401.58
2017-05-10,2399.74,2399.63,2392.79,2396.79
2017-05-11,2395.72,2394.44,2381.74,2394.84
2017-05-12,2392.44,2390.9,2387.19,2392.44
2017-05-15,2404.05,2402.32,2393.94,2393.98
2017-05-16,2405.77,2400.67,2396.05,2404.55
2017-05-17,2384.87,2357.03,2356.21,2382.95
2017-05-18,2375.74,2365.72,2352.72,2354.69
2017-05-19,2389.06,2381.73,2370.43,2371.37
2017-05-22,2395.46,2394.02,2386.92,2387.21
2017-05-23,2400.85,2398.42,2393.88,2397.04
2017-05-24,2405.58,2404.39,2397.99,2401.41
2017-05-25,2418.71,2415.07,2408.01,2409.54
2017-05-26,2416.68,2415.82,2412.2,2414.5
2017-05-30,2415.26,2412.91,2409.43,2411.67
2017-05-31,2415.99,2411.8,2403.59,2415.63
2017-06-01,2430.06,2430.06,2413.54,2415.65
2017-06-02,2440.23,2439.07,2427.71,2431.28
2017-06-05,2439.55,2436.1,2434.32,2437.83
2017-06-06,2436.21,2429.33,2428.12,2431.92
2017-06-07,2435.28,2433.14,2424.75,2432.03
2017-06-08,2439.27,2433.79,2427.94,2434.27
2017-06-09,2446.2,2431.77,2415.7,2436.39
2017-06-12,2430.38,2429.39,2419.97,2425.88
2017-06-13,2441.49,2440.35,2431.28,2434.15
2017-06-14,2443.75,2437.92,2428.34,2443.75
2017-06-15,2433.95,2432.46,2418.53,2424.14
2017-06-16,2433.15,2433.15,2422.88,2431.24
2017-06-19,2453.82,2453.46,2441.79,2442.55
2017-06-20,2450.66,2437.03,2436.6,2450.66
2017-06-21,2442.23,2435.61,2430.74,2439.31
2017-06-22,2441.62,2434.5,2433.27,2437.4
2017-06-23,2441.4,2438.3,2431.11,2434.65
2017-06-26,2450.42,2439.07,2437.03,2443.32
2017-06-27,2440.15,2419.38,2419.38,2436.34
2017-06-28,2442.97,2440.69,2428.02,2428.7
2017-06-29,2442.73,2419.7,2405.7,2442.38
2017-06-30,2432.71,2423.41,2421.65,2429.2
2017-07-03,2439.17,2429.01,2428.69,2431.39
2017-07-05,2434.9,2432.54,2422.05,2430.78
2017-07-06,2424.28,2409.75,2407.7,2423.44
2017-07-07,2426.92,2425.18,2413.52,2413.52
2017-07-10,2432.0,2427.43,2422.27,2424.51
2017-07-11,2429.3,2425.53,2412.79,2427.35
2017-07-12,2445.76,2443.25,2435.75,2435.75
2017-07-13,2449.32,2447.83,2441.69,2444.99
2017-07-14,2463.54,2459.27,2446.69,2449.16
2017-07-17,2462.82,2459.14,2457.16,2459.5
2017-07-18,2460.92,2460.61,2450.34,2455.88
2017-07-19,2473.83,2473.83,2463.85,2463.85
2017-07-20,2477.62,2473.45,2468.43,2475.56
2017-07-21,2472.54,2472.54,2465.06,2467.4
2017-07-24,2473.1,2469.91,2466.32,2472.04
2017-07-25,2481.24,2477.13,2474.91,2477.88
2017-07-26,2481.69,2477.83,2474.94,2479.97
2017-07-27,2484.04,2475.42,2459.93,2482.76
2017-07-28,2473.53,2472.1,2464.66,2469.12
2017-07-31,2477.96,2470.3,2468.53,2475.94
2017-08-01,2478.51,2476.35,2471.14,2477.1
2017-08-02,2480.38,2477.57,2466.48,2480.38
2017-08-03,2476.03,2472.16,2468.85,2476.03
2017-08-04,2480.0,2476.83,2472.08,2476.88
2017-08-07,2480.95,2480.91,2475.88,2477.14
2017-08-08,2490.87,2474.92,2470.32,2478.35
2017-08-09,2474.41,2474.02,2462.08,2465.35
2017-08-10,2465.38,2438.21,2437.75,2465.38
2017-08-11,2448.09,2441.32,2437.85,2441.04
2017-08-14,2468.22,2465.84,2454.96,2454.96
2017-08-15,2468.9,2464.61,2461.61,2468.66
2017-08-16,2474.93,2468.11,2463.86,2468.63
2017-08-17,2465.02,2430.01,2430.01,2462.95
2017-08-18,2440.27,2425.55,2420.69,2427.64
2017-08-21,2430.58,2428.37,2417.35,2425.5
2017-08-22,2454.77,2452.51,2433.67,2433.75
2017-08-23,2448.91,2444.04,2441.42,2444.88
2017-08-24,2450.39,2438.97,2436.19,2447.91
2017-08-25,2453.96,2443.05,2442.22,2444.72
2017-08-28,2449.12,2444.24,2439.03,2447.35
2017-08-29,2449.19,2446.3,2428.2,2431.94
2017-08-30,2460.31,2457.59,2443.77,2446.06
2017-08-31,2475.01,2471.65,2462.65,2462.65
2017-09-01,2480.38,2476.55,2473.85,2474.42
2017-09-05,2471.97,2457.85,2446.55,2470.35
2017-09-06,2469.64,2465.54,2459.2,2463.83
2017-09-07,2468.62,2465.1,2460.29,2468.06
2017-09-08,2467.11,2461.43,2459.4,2462.25
2017-09-11,2488.95,2488.11,2474.52,2474.52
2017-09-12,2496.77,2496.48,2490.37,2491.94
2017-09-13,2498.37,2498.37,2492.14,2493.89
2017-09-14,2498.43,2495.62,2491.35,2494.56
2017-09-15,2500.23,2500.23,2493.16,2495.67
2017-09-18,2508.32,2503.87,2499.92,2502.51
2017-09-19,2507.84,2506.65,2503.19,2506.29
2017-09-20,2508.85,2508.24,2496.67,2506.84
2017-09-21,2507.16,2500.6,2499.0,2507.16
2017-09-22,2503.47,2502.22,2496.54,2497.26
2017-09-25,2502.54,2496.66,2488.03,2499.39
2017-09-26,2503.51,2496.84,2495.12,2501.04
2017-09-27,2511.75,2507.04,2495.91,2503.3
2017-09-28,2510.81,2510.06,2502.93,2503.41
2017-09-29,2519.44,2519.36,2507.99,2509.96
2017-10-02,2529.23,2529.12,2520.4,2521.2
2017-10-03,2535.13,2534.58,2528.85,2530.34
2017-10-04,2540.53,2537.74,2531.8,2533.48
2017-10-05,2552.51,2552.07,2540.02,2540.86
2017-10-06,2549.41,2549.33,2543.79,2547.44
2017-10-09,2551.82,2544.73,2541.6,2551.39
2017-10-10,2555.23,2550.64,2544.86,2549.99
2017-10-11,2555.24,2555.24,2547.95,2550.62
2017-10-12,2555.33,2550.93,2548.31,2552.88
2017-10-13,2557.65,2553.17,2552.09,2555.66
2017-10-16,2559.47,2557.64,2552.64,2555.57
2017-10-17,2559.71,2559.36,2554.69,2557.17
2017-10-18,2564.11,2561.26,2559.67,2562.87
2017-10-19,2562.36,2562.1,2547.92,2553.39
2017-10-20,2575.44,2575.21,2567.56,2567.56
2017-10-23,2578.29,2564.98,2564.33,2578.08
2017-10-24,2572.18,2569.13,2565.58,2568.66
2017-10-25,2567.4,2557.15,2544.0,2566.52
2017-10-26,2567.07,2560.4,2559.8,2560.08
2017-10-27,2582.98,2581.07,2565.94,2570.26
2017-10-30,2580.03,2572.83,2568.25,2577.75
2017-10-31,2578.29,2575.26,2572.15,2575.99
2017-11-01,2588.4,2579.36,2574.92,2583.21
2017-11-02,2581.11,2579.85,2566.17,2579.46
2017-11-03,2588.42,2587.84,2576.77,2581.93
2017-11-06,2593.38,2591.13,2585.66,2587.47
2017-11-07,2597.02,2590.64,2584.35,2592.11
2017-11-08,2595.47,2594.38,2585.02,2588.71
