Date,CLOSE,VOLUME,HIGH,LOW,OPEN
2019-05-15,0.09,1445382.0,,,
2019-05-16,0.089,2057741.0,,,
2019-05-17,0.081,2161111.0,,,
2019-05-18,0.08,692134.0,,,
2019-05-19,0.086,760778.0,,,
2019-05-20,0.086,674903.0,,,
2019-05-21,0.085,443580.0,,,
2019-05-22,0.078,625085.0,,,
2019-05-23,0.08,352960.0,,,
2019-05-24,0.082,816067.0,,,
2019-05-25,0.08,220813.0,,,
2019-05-26,0.086,607387.0,,,
2019-05-27,0.09,662820.0,,,
2019-05-28,0.092,817255.0,,,
2019-05-29,0.092,956759.0,,,
2019-05-30,0.082,2266466.0,,,
2019-05-31,0.087,910573.0,,,
2019-06-01,0.092,521912.0,,,
2019-06-02,0.094,1086288.0,,,
2019-06-03,0.093,1035217.0,,,
2019-06-04,0.079,1927245.0,,,
2019-06-05,0.082,648819.0,,,
2019-06-07,0.085,1.0,,,
2019-06-08,0.083,0.0,,,
2019-06-09,0.079,1.0,,,
2019-06-10,0.084,0.0,,,
2019-06-11,0.088,1.0,,,
2019-06-12,0.094,1.0,,,
2019-06-13,0.09,1.0,,,
2019-06-14,0.089,1.0,,,
2019-06-15,0.091,0.0,,,
2019-06-16,0.093,1.0,,,
2019-06-17,0.093,1.0,,,
2019-06-18,0.089,632438.0,,,
2019-06-19,0.09,232233.0,,,
2019-06-20,0.087,636440.0,,,
2019-06-21,0.089,571343.0,,,
2019-06-22,0.095,1750479.0,,,
2019-06-23,0.097,1561638.0,,,
2019-06-24,0.096,685980.0,,,
2019-06-25,0.095,925969.0,,,
2019-06-26,0.097,3067728.0,,,
2019-06-27,0.086,2652549.0,,,
2019-06-28,0.088,1381421.0,,,
2019-06-29,0.089,925534.0,,,
2019-06-30,0.084,862286.0,,,
2019-07-01,0.083,660738.0,,,
2019-07-02,0.08,1108390.0,,,
2019-07-03,0.081,572282.0,,,
2019-07-04,0.079,334962.0,,,
2019-07-05,0.077,358564.0,,,
2019-07-06,0.078,204244.0,,,
2019-07-07,0.08,316051.0,,,
2019-07-08,0.08,644846.0,,,
2019-07-09,0.078,815825.0,,,
2019-07-10,0.071,1160452.0,,,
2019-07-11,0.065,951935.0,,,
2019-07-12,0.069,393013.0,,,
2019-07-13,0.065,317367.0,,,
2019-07-14,0.062,423020.0,,,
2019-07-15,0.059,461140.0,,,
2019-07-16,0.053,534345.0,,,
2019-07-17,0.057,602818.0,,,
2019-07-18,0.059,384026.0,,,
2019-07-19,0.059,224528.0,,,
2019-07-20,0.065,344253.0,,,
2019-07-21,0.061,276475.0,,,
2019-07-22,0.059,259108.0,,,
2019-07-23,0.058,282357.0,,,
2019-07-24,0.059,264999.0,,,
2019-07-25,0.059,198512.0,,,
2019-07-26,0.062,370692.0,,,
2019-07-27,0.06,404675.0,,,
2019-07-28,0.058,108587.0,,,
2019-07-29,0.061,215326.0,,,
2019-07-30,0.06,189544.0,,,
2019-07-31,0.06,366553.0,,,
2019-08-01,0.059,115571.0,,,
2019-08-02,0.057,235420.0,,,
2019-08-03,0.058,129387.0,,,
2019-08-04,0.056,96568.0,,,
2019-08-05,0.057,164148.0,,,
2019-08-06,0.053,250553.0,,,
2019-08-07,0.052,178128.0,,,
2019-08-08,0.052,186516.0,,,
2019-08-09,0.048,220459.0,,,
2019-08-10,0.053,413863.0,,,
2019-08-11,0.055,262709.0,,,
2019-08-12,0.053,168953.0,,,
2019-08-13,0.052,223032.0,,,
2019-08-14,0.049,336176.0,,,
2019-08-15,0.048,326233.0,,,
2019-08-16,0.047,249055.0,,,
2019-08-17,0.047,125549.0,,,
2019-08-18,0.051,148725.0,,,
2019-08-19,0.05,98324.0,,,
2019-08-20,0.049,109517.0,,,
2019-08-21,0.047,181994.0,,,
2019-08-22,0.05,187601.0,,,
2019-08-23,0.05,126067.0,,,
2019-08-24,0.051,236619.0,,,
2019-08-25,0.049,215978.0,,,
2019-08-26,0.05,196262.0,,,
2019-08-27,0.049,96713.0,,,
2019-08-28,0.046,253186.0,,,
2019-08-29,0.045,377719.0,,,
2019-08-30,0.046,88506.0,,,
2019-08-31,0.045,126505.0,,,
2019-09-01,0.045,146178.0,,,
2019-09-02,0.046,132122.0,,,
2019-09-03,0.046,140625.0,,,
2019-09-04,0.046,132602.0,,,
2019-09-05,0.045,135476.0,,,
2019-09-06,0.045,118984.0,,,
2019-09-07,0.047,145999.0,,,
2019-09-08,0.048,184024.0,,,
2019-09-09,0.046,130367.0,,,
2019-09-10,0.046,228778.0,,,
2019-09-11,0.045,161858.0,,,
2019-09-12,0.046,119297.0,,,
