DATE,CLOSE,ADJ CLOSE,ADJ EV CLOSE,DPA EX,VOLUME
1990-10-12,4.6545455239e-06,1.2780177986e-05,8.7078874392e-05,0.0,0.53514376054
1990-10-15,4.6727274114e-06,1.2830100746e-05,8.7419027537e-05,0.0,1.7591451142
1990-10-16,4.6727274114e-06,1.2830100746e-05,8.7419027537e-05,0.0,0.063918161704
1990-10-17,4.6545455239e-06,1.2780177986e-05,8.7078874392e-05,0.0,1.5452204209
1990-10-18,4.3636363636e-06,1.1981416684e-05,8.1636443526e-05,0.0,0.50305444419
1990-10-19,4.5090907704e-06,1.2380796859e-05,8.4357655715e-05,0.0,0.61895115006
1990-10-22,4.4727273421e-06,1.2280952291e-05,8.3677355911e-05,0.0,0.12538186229
1990-10-23,4.364000147e-06,1.1982415539e-05,8.1643249313e-05,0.0,2.041882132
1990-10-24,4.3636398315e-06,1.1981426206e-05,8.1636508404e-05,0.0,0.77541818182
1990-10-25,4.4727273421e-06,1.2280952291e-05,8.3677355911e-05,0.0,0.094364349018
1990-10-26,4.4727273421e-06,1.2280952291e-05,8.3677355911e-05,0.0,0.39265809555
1990-10-29,4.3636363636e-06,1.1981416684e-05,8.1636443526e-05,0.0,1.0588543293
1990-10-30,4.1818181818e-06,1.1482190988e-05,7.8234925045e-05,0.0,1.1436404386
1990-10-31,4.1818181818e-06,1.1482190988e-05,7.8234925045e-05,0.0,0.1722727779
1990-11-01,4.1818181818e-06,1.1482190988e-05,7.8234925045e-05,0.0,0.36967272727
1990-11-02,4.1818181818e-06,1.1482190988e-05,7.8234925045e-05,0.0,0.36967272727
1990-11-05,4.1818181818e-06,1.1482190988e-05,7.8234925045e-05,0.0,0.24173599063
1990-11-06,4.1818181818e-06,1.1482190988e-05,7.8234925045e-05,0.0,0.10538181818
1990-11-07,4.4727273421e-06,1.2280952291e-05,8.3677355911e-05,0.0,0.08922549168
1990-11-08,4.6181817488e-06,1.2680332466e-05,8.63985681e-05,0.0,0.72348542369
1990-11-09,4.6363636364e-06,1.2730255226e-05,8.6738721246e-05,0.0,0.023309454484
1990-11-12,4.7276365107e-06,1.2980866929e-05,8.8446286274e-05,0.0,0.12814920529
1990-11-13,5.0909090909e-06,1.3978319464e-05,9.5242517447e-05,0.0,0.14742039108
1990-11-14,5.1345454129e-06,1.4098133517e-05,9.6058881103e-05,0.0,0.48305028908
1990-11-15,5.1345454129e-06,1.4098133517e-05,9.6058881103e-05,0.0,0.48305028908
1990-11-16,5.0909090909e-06,1.3978319464e-05,9.5242517447e-05,0.0,0.11426543599
1990-11-19,5.4545454545e-06,1.4976770855e-05,0.0001020455544,0.0,0.14930903494
1990-11-20,6.3636363636e-06,1.7472899331e-05,0.0001190531468,0.0,0.15850921908
1990-11-21,6.1818181818e-06,1.6973673636e-05,0.00011565162832,0.0,0.83820920043
1990-11-22,6.2181854248e-06,1.7073528678e-05,0.00011633199949,0.0,0.65905819383
1990-11-23,6.2909088135e-06,1.7273208291e-05,0.00011769253422,0.0,0.34190898895
1990-11-26,6.0363637751e-06,1.657429346e-05,0.00011293041613,0.0,0.17163634976
1990-11-27,6.0363637751e-06,1.657429346e-05,0.00011293041613,0.0,0.10396004666
1990-11-28,6.3636363636e-06,1.7472899331e-05,0.0001190531468,0.0,0.56387636261
1990-11-29,6.4000001387e-06,1.7572744851e-05,0.00011973345309,0.0,0.28582185724
1990-11-30,6.6909089522e-06,1.8371505201e-05,0.00012517587748,0.0,1.7949821444
1990-12-03,7.4545454545e-06,2.0468253502e-05,0.00013946225769,0.0,0.1528001691
1990-12-04,7.2727272727e-06,1.9969027807e-05,0.00013606073921,0.0,0.70866900087
1990-12-05,7.2727307406e-06,1.9969037329e-05,0.00013606080409,0.0,2.5924330313
1990-12-06,7.0909090909e-06,1.9469802112e-05,0.00013265922073,0.0,0.63854552723
1990-12-07,7.2727272727e-06,1.9969027807e-05,0.00013606073921,0.0,0.45621826671
1990-12-10,7.0909090909e-06,1.9469802112e-05,0.00013265922073,0.0,0.082512743031
1990-12-11,7.0545453158e-06,1.9369956592e-05,0.00013197891444,0.0,0.22063278809
