Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2000-07-05,17361.95,17134.93,17086.21,17284.57,171057113.0
2000-07-06,17366.33,17348.07,17024.2,17147.89,177505742.0
2000-07-07,17754.21,17598.83,17351.7,17351.7,178376928.0
2000-07-10,17794.67,17471.63,17443.7,17619.72,114812324.0
2000-07-11,17473.25,16880.66,16827.09,17473.25,147804749.0
2000-07-12,17175.5,17053.38,16692.86,16892.59,123908573.0
2000-07-13,17382.86,16444.25,16415.56,17057.05,145557804.0
2000-07-14,16884.81,16880.95,16389.99,16438.72,100654537.0
2000-07-17,17394.79,17387.88,16890.06,16890.06,124068273.0
2000-07-18,17565.96,17368.59,17280.69,17379.25,120424883.0
2000-07-19,17357.77,16927.55,16868.25,17354.48,115713567.0
2000-07-20,17352.54,17203.62,16950.57,16950.57,943874080.0
2000-07-21,17364.66,17318.24,17071.11,17207.33,114321710.0
2000-07-24,17588.15,17385.98,17314.2,17314.2,137376302.0
2000-07-25,17530.19,17049.42,17046.29,17390.09,105439774.0
2000-07-26,17211.48,17121.3,16839.84,17049.42,123202109.0
2000-07-27,17225.0,16948.73,16923.04,17121.42,110496093.0
2000-07-28,17038.64,16485.69,16448.37,16948.73,102090124.0
2000-07-31,16713.15,16454.6,16454.6,16486.68,705800770.0
2000-08-01,16591.17,16289.87,16126.77,16474.82,123637667.0
2000-08-02,16534.7,16314.47,16120.77,16284.2,122879953.0
2000-08-03,16761.29,16720.76,16072.74,16247.71,969263810.0
2000-08-04,16907.21,16761.25,16715.77,16726.7,109527216.0
2000-08-07,17014.05,16995.8,16768.6,16771.63,103299728.0
2000-08-08,17061.82,16884.77,16857.72,17005.49,144515595.0
2000-08-09,16976.78,16533.67,16510.69,16894.18,125042945.0
2000-08-10,17023.46,16834.8,16501.33,16518.53,332441154.0
2000-08-11,17395.0,17395.0,16705.18,16846.29,289721269.0
2000-08-14,17925.75,17810.63,17333.89,17401.79,276046152.0
2000-08-15,17909.82,17744.13,17689.57,17810.76,313502660.0
2000-08-16,17770.97,17330.77,17275.14,17741.18,452974300.0
2000-08-17,17857.59,17702.52,17321.12,17326.13,338906342.0
2000-08-18,17780.11,17313.69,17257.73,17702.52,140160729.0
2000-08-21,17420.39,17083.38,17066.18,17317.22,163994653.0
2000-08-22,17427.89,17224.43,17086.26,17086.26,178861494.0
2000-08-23,17455.38,17450.44,17137.03,17252.6,440193099.0
2000-08-24,17454.47,17310.96,17186.58,17454.47,288057384.0
2000-08-25,17667.71,17642.67,17315.6,17315.6,274884328.0
2000-08-28,17685.6,17460.33,17380.29,17657.07,276277510.0
2000-08-29,17490.32,17354.89,17235.04,17453.88,189522254.0
2000-08-30,17563.18,17414.28,17309.21,17358.65,238735593.0
2000-08-31,17562.77,17346.7,17327.41,17416.78,263490900.0
2000-09-01,17577.42,17577.42,17359.71,17359.71,218946879.0
2000-09-04,17715.8,17613.17,17569.45,17577.42,209917393.0
2000-09-05,17639.33,17424.97,17416.53,17613.76,311592479.0
2000-09-06,17647.54,17589.66,17441.75,17441.75,439782937.0
2000-09-08,17691.87,17433.17,17428.02,17594.43,988221380.0
2000-09-11,17474.57,17287.65,17236.45,17442.54,184081054.0
2000-09-12,17303.66,16882.69,16882.69,17285.15,219518356.0
2000-09-13,17092.12,16998.51,16877.24,16888.36,221427767.0
2000-09-14,17108.0,16768.53,16730.54,17031.74,162616868.0
2000-09-15,16770.61,16563.18,16515.07,16770.61,146909434.0
2000-09-18,16608.69,15913.13,15913.13,16562.24,170108733.0
2000-09-19,16189.16,16188.45,15823.64,15922.98,196000322.0
2000-09-20,16215.9,16077.7,15812.85,16195.66,165992731.0
2000-09-21,16171.92,16146.02,15946.03,16065.31,188190380.0
2000-09-22,16425.89,16353.09,15705.22,16092.66,168796713.0
2000-09-25,16520.73,16318.55,16317.79,16361.45,133373660.0
2000-09-26,16467.89,16254.93,16195.89,16318.61,115347340.0
2000-09-27,16403.97,15848.12,15745.48,16289.27,219741545.0
2000-09-28,16040.57,16013.69,15656.58,15849.08,129300127.0
2000-09-29,16135.47,15928.39,15821.28,16019.8,154238711.0
