Date,CLOSE,HIGH,LOW,OPEN,COUNT
2018-12-27,115.4,136.2,112.86,128.47,61096
2018-12-28,134.46,143.34,111.94,115.56,60006
2018-12-29,134.46,143.34,111.94,115.56,60006
2018-12-30,134.46,143.34,111.94,115.56,60006
2018-12-31,135.2,145.14,128.13,136.55,61797
2019-01-01,143.35,148.0,127.8,129.97,47404
2019-01-02,154.41,162.4,135.81,143.35,55817
2019-01-03,147.98,163.0,144.17,154.44,49032
2019-01-04,153.85,161.0,144.76,147.56,47975
2019-01-05,153.85,161.0,144.76,147.56,47975
2019-01-06,153.85,161.0,144.76,147.56,47975
2019-01-07,150.56,163.46,149.3,157.6,50773
2019-01-08,153.04,157.27,145.92,150.56,44505
2019-01-09,152.78,160.01,147.78,153.04,39623
2019-01-10,126.91,154.34,121.65,149.32,55129
2019-01-11,128.01,131.78,121.02,126.92,52787
2019-01-12,128.01,131.78,121.02,126.92,52787
2019-01-13,128.01,131.78,121.02,126.92,52787
2019-01-14,127.9,134.36,112.14,115.92,54083
2019-01-15,120.29,133.31,115.96,127.89,42869
2019-01-16,122.29,129.59,117.32,120.29,46173
2019-01-17,124.28,126.28,116.5,122.31,43347
2019-01-18,119.46,126.35,117.45,121.48,36024
2019-01-19,119.46,126.35,117.45,121.48,36024
2019-01-20,119.46,126.35,117.45,121.48,36024
2019-01-21,116.71,120.0,112.81,116.97,43896
2019-01-22,117.65,121.81,110.6,115.04,38617
2019-01-23,116.25,121.13,114.69,117.55,32894
2019-01-24,116.4,119.99,113.18,116.25,33194
2019-01-25,115.02,119.77,113.81,116.4,33846
2019-01-26,115.02,119.77,113.81,116.4,33846
2019-01-27,115.02,119.77,113.81,116.4,33846
2019-01-28,103.5,115.99,100.28,113.38,56438
2019-01-29,104.59,108.58,100.92,103.5,43560
2019-01-30,107.14,111.67,102.53,106.86,46821
2019-01-31,105.74,112.68,104.29,107.15,36059
2019-02-01,106.32,109.61,102.54,105.74,37110
2019-02-02,106.32,109.61,102.54,105.74,37110
2019-02-03,106.32,109.61,102.54,105.74,37110
2019-02-04,106.53,110.44,104.27,106.14,40084
2019-02-05,106.02,109.29,104.7,106.53,32014
2019-02-06,103.18,109.04,99.71,106.06,37139
2019-02-07,105.67,109.0,102.27,105.9,35260
2019-02-08,117.26,124.53,100.39,105.67,54205
2019-02-09,117.26,124.53,100.39,105.67,54205
2019-02-10,117.26,124.53,100.39,105.67,54205
2019-02-11,119.54,127.99,116.67,119.86,58740
2019-02-12,119.74,126.01,116.49,119.5,45725
2019-02-13,123.31,129.3,118.95,119.58,48549
2019-02-14,120.33,126.53,118.46,123.31,44377
2019-02-15,123.81,126.33,118.55,120.32,36520
2019-02-16,123.81,126.33,118.55,120.32,36520
2019-02-17,123.81,126.33,118.55,120.32,36520
2019-02-18,145.58,151.86,124.67,126.43,89229
2019-02-19,143.03,153.4,139.93,145.58,65052
2019-02-20,144.85,151.59,138.16,143.1,57351
2019-02-21,143.43,153.85,141.22,144.84,52022
2019-02-22,146.87,152.11,141.63,143.43,49491
2019-02-23,146.87,152.11,141.63,143.43,49491
2019-02-24,146.87,152.11,141.63,143.43,49491
2019-02-25,135.69,144.69,129.6,138.22,74565
2019-02-26,134.81,142.61,132.05,135.69,45873
2019-02-27,130.9,139.8,125.16,134.81,28955
2019-02-28,134.97,138.91,129.63,130.84,39329
2019-03-01,136.09,140.72,133.29,134.97,29258
2019-03-02,136.09,140.72,133.29,134.97,29258
2019-03-03,136.09,140.72,133.29,134.97,29258
2019-03-04,125.31,134.62,122.14,134.62,52731
2019-03-05,138.78,140.87,123.76,125.3,49242
2019-03-06,136.35,143.78,132.71,134.97,47858
2019-03-07,141.23,143.27,134.26,136.35,45214
2019-03-08,135.35,142.85,134.09,137.28,37260
2019-03-09,135.35,142.85,134.09,137.28,37260
2019-03-10,135.35,142.85,134.09,137.28,37260
2019-03-11,131.88,139.47,130.0,134.31,43628
